,id,home_label,home_lat,home_lon,state
599011,7587276.0,8a2a108110d7fff,41.125,-73.432,Connecticut
599012,7587281.0,8a2834cae48ffff,36.877,-121.645,California
599013,7587284.0,8a44ce941d5ffff,34.334,-84.22,Georgia
599014,7587285.0,8a2ab170335ffff,41.222,-80.819,Ohio
599015,7587313.0,8a28b1c2b8c7fff,42.562,-114.444,Idaho
599016,7587314.0,8a44aea146b7fff,26.944,-80.152,Florida
599017,7587317.0,8a2a924e4d8ffff,39.973,-85.916,Indiana
599018,7587322.0,8a26017569a7fff,42.457,-96.415,Nebraska
599019,7587331.0,8a2aa8434d0ffff,39.139,-77.073,Maryland
599020,7587358.0,8a2ab664dd4ffff,42.628,-82.566,Michigan
599021,7587404.0,8a44a9b9da07fff,28.43,-81.647,Florida
599022,7587408.0,8a44e8080907fff,33.153,-86.264,Alabama
599023,7587427.0,8a44d5c4802ffff,32.123,-81.204,Georgia
599024,7587430.0,8a2a90c32c07fff,40.576,-84.211,Ohio
599025,7587431.0,8a44e851582ffff,32.924,-85.964,Alabama
599026,7587439.0,8a44cdc996f7fff,34.96,-85.457,Georgia
599027,7587449.0,8a2a14aa84b7fff,41.647,-72.681,Connecticut
599028,7587454.0,8a2696074a57fff,40.705,-112.041,Utah
599029,7587462.0,8a2aad6c44a7fff,38.642,-75.613,Delaware
599030,7587472.0,8a288439b887fff,43.643,-116.199,Idaho
599031,7587480.0,8a2ad415268ffff,35.454,-77.475,North Carolina
599032,7587494.0,8a445105d0affff,31.599,-89.188,Mississippi
599033,7587503.0,8a446e148777fff,30.039,-94.076,Texas
599034,7587509.0,8a44c18104affff,33.318,-84.25,Georgia
599035,7587510.0,8a44c12e32affff,34.159,-84.278,Georgia
599036,7587514.0,8a44ee4c25a7fff,32.465,-84.994,Georgia
599037,7587516.0,8a2aaa12cd2ffff,39.026,-77.785,Virginia
599038,7587530.0,8a2b1a8a9a8ffff,44.801,-68.799,Maine
599039,7587535.0,8a26462c4c57fff,38.585,-90.539,Missouri
599040,7587539.0,8a26c8702227fff,33.132,-96.987,Texas
599041,7587557.0,8a26ed0d6ae7fff,36.17,-93.929,Arkansas
599042,7587575.0,8a446c088027fff,29.754,-94.943,Texas
599043,7587578.0,8a44eaa8592ffff,33.456,-85.575,Alabama
599044,7587583.0,8a26c807182ffff,33.306,-96.621,Texas
599045,7587595.0,8a2a8898919ffff,37.369,-78.83,Virginia
599046,7587612.0,8a264608826ffff,38.969,-90.9,Missouri
599047,7587622.0,8a4451172c47fff,31.346,-89.176,Mississippi
599048,7587623.0,8a2aa4ba8b27fff,42.585,-76.372,New York
599049,7587625.0,8a445509170ffff,30.42,-89.094,Mississippi
599050,7587627.0,8a2a9ecf6d27fff,38.703,-83.824,Ohio
599051,7587646.0,8a274b9b2b07fff,42.236,-85.728,Michigan
599052,7587667.0,8a12db62dc5ffff,47.565,-117.492,Washington
599053,7587684.0,8a2759b10427fff,42.446,-87.824,Illinois
599054,7587690.0,8a44d5a7072ffff,32.436,-81.772,Georgia
599055,7587691.0,8a464b96429ffff,21.366,-157.903,Hawaii
599056,7587694.0,8a266aab3347fff,37.766,-87.198,Kentucky
599057,7587696.0,8a26e311549ffff,37.569,-97.309,Kansas
599058,7587698.0,8a264d68bb0ffff,35.554,-87.193,Tennessee
599059,7587725.0,8a2664453297fff,41.476,-87.828,Illinois
599060,7587731.0,8a2ba9ac5117fff,44.329,-70.258,Maine
599061,7587736.0,8a446ddb2b77fff,29.856,-95.636,Texas
599062,7587744.0,8a2ad0a0c25ffff,34.435,-77.601,North Carolina
599063,7587748.0,8a26641b210ffff,41.719,-87.534,Indiana
