,id,cluster,#move,#stay_move,#unique_loc,radius,area,stay_t,frequency,d_home,center,counts_near_home
0,7586595,0,7,3.5,3,65.04515926137265,0,20.90972222222222,2,0.5875032549568167,"(33.966558550339045, -112.73287101547756)",2
1,7586595,2,94,94.0,12,23.90186173611368,2.3367409422333543,621.3413888888889,1,13.139814232319363,"(34.04916824456292, -112.63539740884275)",86
2,7586595,3,5,5.0,3,0.014491699684694964,0,6.646944444444444,1,64.88790864612241,"(33.54123175486088, -112.26030579794742)",0
3,7586595,5,9,4.5,5,27.893091762411526,0.04530425584163189,31.01597222222222,2,0.7677654595373093,"(33.961096278036635, -112.73913872574512)",4
4,7586595,1,42,21.0,14,9.110740439587037,1.8555038598456666,248.40763888888887,2,4.560373947641966,"(33.95426083275243, -112.69240984731573)",36
5,7586595,4,24,24.0,6,1.904054632282393,0.001453737666467575,68.9011111111111,1,90.45457271782624,"(33.44878968097512, -111.98619474661321)",0
6,7586595,6,7,7.0,5,9.992491582784833,0,56.88333333333333,1,71.92288060232649,"(33.58559115541155, -112.11139591769728)",0
0,7586598,0,37,1.7619047619047619,7,6.127398349535238,0.25421716216451806,18.597738095238096,21,4.352992791540461,"(39.968346903280846, -82.92503469253352)",30
1,7586598,1,29,1.8125,7,26.403913521255213,1.1535404669709113,19.089288194444446,16,24.597882261130454,"(39.76250940190256, -82.97393307459265)",25
2,7586598,2,45,2.0454545454545454,8,2.8382256009843148,0.002940447538315205,17.62604797979798,22,0.05180480160958422,"(39.9700674722941, -82.87460150286527)",43
3,7586598,3,11,5.5,3,39.07185025363136,0,53.39486111111111,2,63.83774462275762,"(39.3990425353585, -82.95203130164312)",7
4,7586598,4,44,4.0,5,0.021163313022858527,0.0012004614840294419,107.69267676767677,11,0.043856740058182554,"(39.970313974943615, -82.87431147493713)",44
5,7586598,5,6,6.0,4,0.016240115785679597,0,44.70777777777778,1,1574.0704449391212,"(26.00209590000051, -80.11669522429885)",0
0,7586600,4,72,3.4285714285714284,12,0.43736621097663086,0.002028571390391773,53.502989417989426,21,0.09565106215356459,"(35.47267247402869, -77.41665866624109)",69
1,7586600,1,4,4.0,3,0.025703125220739715,0,7.856944444444444,1,0.15442116371293746,"(35.473080034732114, -77.41707196501987)",4
2,7586600,5,68,3.4,6,0.0732394486130071,0.0051101237734966646,43.360930555555555,20,0.07978508866330293,"(35.47221496967824, -77.41684057806445)",68
3,7586600,6,4,4.0,4,0.014876439892008417,0,14.829166666666667,1,0.5452794257508172,"(35.467450782339036, -77.41375195952355)",4
4,7586600,0,51,17.0,9,1.9096235320939916,0.09079491438864529,215.24537037037035,3,11.32732528406163,"(35.57134736814628, -77.38832350287261)",0
5,7586600,2,11,11.0,5,0.6679239260665515,0.0008974757655510155,17.704166666666666,1,339.0370854142441,"(35.26535691269015, -81.14673592232117)",0
0,7586608,1,16,8.0,9,1.6253024454937648,0.07284640688559134,194.00291666666666,2,1.125550750065939,"(40.91184354420738, -73.998466216739)",9
1,7586608,5,41,13.666666666666666,10,3.0415944694262094,0.12368351459116766,128.31490740740742,3,3.3106651385322503,"(40.88528948651212, -74.02063820801693)",29
2,7586608,2,14,4.666666666666667,6,0.016817672950738424,0.0009123616986154979,35.783796296296295,3,332.8439731644562,"(39.030161642468585, -77.03627086103202)",0
3,7586608,0,12,12.0,6,0.5337358450930154,0.034873706620124956,210.68666666666667,1,0.36160503069065264,"(40.90445363186322, -73.98573938161319)",10
4,7586608,3,12,12.0,6,0.3780139270196138,0.012613340499736218,175.3947222222222,1,0.14410780021615552,"(40.90280229351549, -73.98934498266766)",10
5,7586608,4,22,22.0,6,0.1049582280349264,0.0014197536463113412,1687.2005555555556,1,0.12933646468167392,"(40.904853569913286, -73.98895455453413)",22
6,7586608,6,69,34.5,12,0.49199486744231236,0.060184454157078834,327.32680555555555,2,0.2541365791163167,"(40.906187381024935, -73.98912344798633)",65
7,7586608,7,18,18.0,5,2.358534651432818,0.15074673333827915,102.43111111111111,1,1.8693499673850806,"(40.908152600466494, -74.01155447789876)",16
0,7586611,0,19,19.0,6,1.1419656542650694,0.05277080834104388,91.73166666666667,1,1419.2525253746846,"(45.09229599169676, -87.64290501784528)",0
1,7586611,1,12,12.0,4,0.012930835532562255,0,49.90888888888889,1,1417.7264301574628,"(45.06965177887791, -87.63600609148176)",0
2,7586611,2,55,13.75,13,8.150818907554436,0.3714588561731753,347.8890277777778,4,1140.8711882340522,"(42.20580733991273, -88.53873296300516)",0
3,7586611,3,33,33.0,18,0.0464500181156995,0.0036786286163278115,91.065,1,1250.4553345310558,"(33.76143292386725, -84.38328818227939)",0
4,7586611,5,14,14.0,12,15.321678073125833,1.5201415183945126,116.44083333333333,1,2542.1207634861044,"(48.59415713626396, -122.90697476689718)",0
5,7586611,6,52,52.0,10,3.3164545206926634,0.1413274329902378,95.95083333333334,1,2134.590482940867,"(38.6739738797144, -121.55863809699416)",0
6,7586611,7,18,18.0,4,0.598737017571628,0,91.53138888888888,1,526.6867349800262,"(35.15360119520969, -103.72313002190725)",0
7,7586611,8,29,14.5,9,5.916565843332758,0.08751834086734242,56.630972222222226,2,1073.5246615457074,"(42.75399226731508, -105.3823052935915)",0
8,7586611,9,45,45.0,10,0.9558603436384142,0.08452405052819167,250.62972222222223,1,0.6452740249001969,"(35.02330191453356, -97.94290559018543)",36
9,7586611,10,40,40.0,10,17.133147247079528,1.0808959189505882,256.8538888888889,1,1620.835219903521,"(38.11667974046773, -80.16909839424557)",0
