,id,cluster,#move,#stay_move,#unique_loc,radius,area,stay_t,frequency,d_home,center,counts_near_home
5,7586634,3,7,7.0,6,167.78773987088152,7.867638898123667,46.25277777777778,1,297.4614617070812,"(30.843937601035837, -89.65895924435472)",0
6,7586634,6,7,3.5,5,217.59944814110239,7.944021749891647,30.682222222222222,2,140.56449677344264,"(34.53966537521061, -88.13174213487555)",0
7,7586634,7,35,11.666666666666666,9,0.6465691009955773,0.06468987286529528,244.82805555555555,3,210.5627042497441,"(31.62805989723515, -89.54488897561087)",0
0,7586638,0,46,9.2,12,8.196399934072272,0.7490582203149483,115.07794444444446,5,4.5101395413378285,"(38.458402818489255, -90.39216127957171)",38
1,7586638,1,49,7.0,12,1.996895300963299,0.07901613896696931,189.40484126984123,7,31.430564333079243,"(38.679692803289285, -90.26647345775382)",0
2,7586638,4,24,6.0,10,0.021783223016974756,0.0014872896180406936,27.16111111111111,4,7.826232762388221,"(38.39959129515852, -90.500148610529)",0
3,7586638,7,4,4.0,4,0.045645770374211345,0,7.802222222222222,1,33.49510508401415,"(38.70111073554726, -90.27010871626217)",0
4,7586638,2,6,6.0,5,1.961234058291411,0.07976331455998265,18.586388888888887,1,35.0045292728405,"(38.71522540544577, -90.2684999510435)",0
5,7586638,3,15,15.0,8,5.705991810586393,0.21773205937380147,64.79555555555555,1,210.8609156131494,"(37.77655330460609, -92.68093821319731)",0
6,7586638,5,15,15.0,3,0.016470245525736674,0,70.94916666666667,1,210.51218733821364,"(37.79415282166176, -92.68495734070657)",0
7,7586638,6,12,12.0,6,4.090523896354043,0.175935558297023,40.17305555555556,1,196.72495036770286,"(38.14104067226257, -92.64027193068915)",0
8,7586638,8,7,7.0,7,6.328142536796129,0.33662415451023986,190.49944444444444,1,27.342998385115393,"(38.63761731205533, -90.263874115906)",0
0,7586640,0,204,204.0,9,0.021427817401940243,0.001506630569834827,1171.6175,1,0.05690930816231782,"(44.441510882427096, -92.14604285159614)",204
1,7586640,1,93,46.5,14,0.9687493740766354,0.2076846583821012,836.5248611111111,2,871.7790691784344,"(37.6924039760683, -97.44962565603424)",0
2,7586640,3,4,4.0,4,153.01351990161044,0,363.5158333333333,1,887.2832421249589,"(37.00158958563793, -88.32932015726607)",0
3,7586640,2,62,62.0,13,0.029466489637325618,0.0020276857959270504,454.8077777777778,1,866.9789306515933,"(37.71312722009891, -97.38405437036471)",0
0,7586660,0,8,2.6666666666666665,3,2.3304970088622867,0,6.245092592592592,3,13.769868106806307,"(31.30973766297728, -89.1439945847213)",0
1,7586660,3,88,4.631578947368421,10,0.021826151431470504,0.0014412814357440335,15.831476608187135,19,13.688297096647577,"(31.31152750204209, -89.14452996075417)",0
2,7586660,1,54,2.16,6,1.1729958722748643,0.09110101102806446,14.343333333333335,25,1.086869583275606,"(31.327444485080314, -89.29804482742139)",52
3,7586660,2,67,1.9142857142857144,7,0.12387152874770435,0.0014028766212780999,8.27661111111111,35,0.03688809415663704,"(31.329683832840868, -89.28711760449322)",65
4,7586660,4,12,1.3333333333333333,3,1.7359403161409055,0,3.9432098765432095,9,2.3501592143455197,"(31.328592180235542, -89.31168827134925)",9
0,7586668,1,179,179.0,14,3.321197195514968,0.6015856959173458,555.1377777777777,1,2.197483695231827,"(31.415792695781946, -85.62290205833644)",173
1,7586668,2,11,5.5,5,34.08159206941286,1.3130452229425713,83.32736111111112,2,29.308920657144228,"(31.40198609575857, -85.33189079325535)",0
2,7586668,3,15,7.5,7,12.200815997363682,0.4329986530985786,544.08375,2,16.600727787960775,"(31.391260413800246, -85.80793725234795)",5
3,7586668,0,37,12.333333333333334,15,1.7017257008225701,0.06423626463503376,387.6199074074074,3,35.521365164569126,"(31.189869682378614, -85.39240673430822)",0
0,7586674,2,64,4.571428571428571,14,0.11196939201244421,0.002278122916935337,15.862499999999999,14,0.049491510975410706,"(28.009597309466184, -80.60621474098066)",63
1,7586674,5,37,2.466666666666667,10,1.6567281763126074,0.1880631666998812,8.283518518518518,15,1.0847571493365133,"(28.01304543407706, -80.61649768529959)",34
2,7586674,4,37,3.0833333333333335,11,0.0632518900383593,0.003988646684087215,16.576296296296295,12,4.4082497550104724,"(28.048181954655504, -80.6180858408668)",0
3,7586674,1,7,3.5,5,0.6425337351074585,0.028608775814616863,10.513333333333334,2,5.89048713852136,"(28.0628472231422, -80.6018433497058)",0
4,7586674,3,33,8.25,9,3.954343276290338,0.32530024296576787,319.7235416666667,4,4.884681983237587,"(27.98286436250069, -80.64512427612894)",0
5,7586674,0,28,14.0,6,0.4911712068937731,0.03471407286811789,305.99569444444444,2,174.12577663451702,"(28.23151610253283, -82.36370556565845)",0
0,7586675,5,113,8.071428571428571,24,2.3836028617923257,0.29043988924113084,25.416349206349206,14,0.7817750284622796,"(33.15272284139149, -85.35877933723567)",93
